Partlist

Exported from BSC_mini.brd at 9/12/18 2:52 PM

EAGLE Version 7.7.0 Copyright (c) 1988-2016 CadSoft

Assembly variant: 

Part     Value                  Package                          Library             Position (mm)         Orientation

C101     100u                   S_RADIAL_10MM                    be_rcl              (20.24 8.89)          R270
C201     100n                   S_0805                           be_rcl              (84.6 13.2)           R180
C202     100n                   S_0805                           be_rcl              (68.6 13.2)           R180
C203     100n                   S_0805                           be_rcl              (224.8 13.2)          R180
C204     1u                     S_0805                           be_rcl              (228.8 13.2)          R0
C205     1u                     S_0805                           be_rcl              (89 13.2)             R0
C206     1u                     S_0805                           be_rcl              (73 13.2)             R0
C207     100n                   S_0805                           be_rcl              (177 13.2)            R180
C208     100n                   S_0805                           be_rcl              (51.8 28)             R90
C209     1u                     S_0805                           be_rcl              (181.4 13.2)          R0
C210     1u                     S_0805                           be_rcl              (51.8 23.6)           R270
C301     100n                   S_0805                           be_rcl              (208.6 13.2)          R180
C302     1u                     S_0805                           be_rcl              (212.8 13.2)          R0
C303     100n                   S_0805                           be_rcl              (192.6 13.2)          R180
C304     1u                     S_0805                           be_rcl              (196.8 13.2)          R0
C401     1u                     S_0805                           be_rcl              (224.2 111.6)         R270
C402     100u                   S_6032                           be_rcl              (214.2 111.8)         R0
C403     100n                   S_0805                           be_rcl              (208.2 119.6)         R270
C601     100n                   S_0805                           be_rcl              (155 117)             R0
C602     100n                   S_0805                           be_rcl              (106 117)             R0
C603     100n                   S_0805                           be_rcl              (130 117)             R0
C701     100n                   S_0805                           be_rcl              (99.6 65.2)           MR90
C702     100n                   S_0805                           be_rcl              (164 115)             R180
C801     100n                   S_0805                           be_rcl              (71.44 93.39)         R0
C802     100n                   S_0805                           be_rcl              (71.4 87.6)           R0
C803     100n                   S_0805                           be_rcl              (62 63.2)             R270
C804     100n                   S_0805                           be_rcl              (59 56)               MR180
C805     100n                   S_0805                           be_rcl              (71.4 77.2)           R0
C806     100n                   S_0805                           be_rcl              (58.2 100.8)          R90
C807     100n                   S_0805                           be_rcl              (55.8 63.2)           R270
C808     100n                   S_0805                           be_rcl              (47 100.8)            R90
C809     100n                   S_0805                           be_rcl              (47.6 63)             R270
C810     100n                   S_0805                           be_rcl              (33.6 86.8)           R180
C811     100n                   S_0805                           be_rcl              (33.6 76.2)           R180
C1101    100n                   S_0805                           be_rcl              (55.2 55.4)           R270
C1102    100n                   S_0805                           be_rcl              (33.6 83.6)           R180
C1103    100n                   S_0805                           be_rcl              (71.4 84.6)           R0
