test_name   dest_addr(hex)  size(dec)  comp_version  date(yyyy:mm:dd)  time(hh:mm:ss)  UTC_offset(h)
----------------------------------------------------------------------------------------------------
infra 00000000 673 004.002 2015-06-30 07:28:18 2
intercon1 00000300 1755 004.002 2015-06-30 07:28:30 2
sram_ic202 00000A00 6906 004.002 2015-06-30 07:28:51 2
sram_ic203 00002500 6906 004.002 2015-06-30 07:29:11 2
osc 00004000 426 004.002 2015-06-30 07:29:24 2
LED_D401 00004200 2562 004.002 2015-06-30 07:29:25 2
LED_D402 00004D00 2562 004.002 2015-06-30 07:29:25 2
LED_D403 00005800 2562 004.002 2015-06-30 07:29:26 2
LED_D404 00006300 2562 004.002 2015-06-30 07:29:27 2
